iter	Logloss
0	0.6527284739
1	0.6202358143
2	0.5538484602
3	0.5305502962
4	0.5076866118
5	0.4904797446
6	0.4636219115
7	0.4319752599
8	0.4075527332
9	0.397554915
10	0.3837454416
11	0.3764802872
12	0.3597507774
13	0.3455098817
14	0.3406701349
15	0.336635754
16	0.3333508148
17	0.3159279823
18	0.3117112538
19	0.3050249687
20	0.3021651798
21	0.2925876466
22	0.2888581903
23	0.2866785799
24	0.2857115226
25	0.2825515841
26	0.2774382058
27	0.2744816251
28	0.2721667903
29	0.2709462141
30	0.2699121207
31	0.2687456973
32	0.2640393646
33	0.2622755307
34	0.2618218909
35	0.260273697
36	0.2598084771
37	0.2574533597
38	0.2556340405
39	0.2547053831
40	0.2533568486
41	0.2529848025
42	0.2525405729
43	0.2519654317
44	0.2514992887
45	0.2510893686
46	0.2501005604
47	0.2489817791
48	0.2487344803
49	0.2472284487
50	0.2458591287
51	0.2456437582
52	0.2453711349
53	0.2449874374
54	0.244792462
55	0.244598545
56	0.2444152422
57	0.2441275633
58	0.2439534129
59	0.2427339928
60	0.2425771087
61	0.2424188833
62	0.2420939091
63	0.2411832894
64	0.2409040794
65	0.2406830034
66	0.2405327937
67	0.2399410517
68	0.2397884478
69	0.2397190185
70	0.2395808535
71	0.2389052384
72	0.238387157
73	0.2379275715
74	0.2378294659
75	0.2377097903
76	0.2376018448
77	0.2373706783
78	0.2372565458
79	0.2371043239
80	0.2369938718
81	0.2368522681
82	0.2360526547
83	0.2359359263
84	0.235786296
85	0.2356738858
86	0.2355697458
87	0.2354539041
88	0.235246671
89	0.2350914202
90	0.2349198763
91	0.2347459101
92	0.2339853829
93	0.2338681952
94	0.2337413789
95	0.2336005968
96	0.2334936936
97	0.2333830918
98	0.2333307003
99	0.2332155264
100	0.233122125
101	0.232479439
102	0.2323202162
103	0.2322236866
104	0.2320838363
105	0.2317454525
106	0.2316123331
107	0.2315304118
108	0.2314599923
109	0.2313812144
110	0.231295503
111	0.2311030892
112	0.2309846243
113	0.2309032328
114	0.2308136768
115	0.2307528586
116	0.2306965708
117	0.2306071558
118	0.230489216
119	0.2304304782
120	0.2303271391
121	0.2302068823
122	0.230097762
123	0.2300073274
124	0.2298787088
125	0.2295908523
126	0.2294939414
127	0.2293938973
128	0.2292687107
129	0.229191619
130	0.2290833631
131	0.2290176612
132	0.2289581008
133	0.2288750135
134	0.2288076494
135	0.2286898297
136	0.2285762877
137	0.2285191954
138	0.228373564
139	0.2282971645
140	0.2282071576
141	0.2280722348
142	0.2279852188
143	0.2278982912
144	0.2278133361
145	0.2277355554
146	0.2276127212
147	0.2275248223
148	0.2274542495
149	0.2273427763
150	0.2268519652
151	0.2267173727
152	0.226615786
153	0.2265472753
154	0.2264705831
155	0.2263516543
156	0.2262314675
157	0.2261350011
158	0.2260710002
159	0.2260085947
160	0.2259272862
161	0.2258410379
162	0.2257299567
163	0.2256820487
164	0.2255134176
165	0.2253999537
166	0.2253318118
167	0.2251990122
168	0.2251322991
169	0.2250822658
170	0.2249938261
171	0.2248859812
172	0.2247539718
173	0.2246513286
174	0.2245358225
175	0.2244318978
176	0.2243641609
177	0.2241300591
178	0.2240605538
179	0.2239715664
180	0.223866544
181	0.2237848377
182	0.2236555609
183	0.2234860471
184	0.2234453724
185	0.2233704881
186	0.2229687657
187	0.2228659216
188	0.2227391457
189	0.2226512511
190	0.2225338257
191	0.2224745306
192	0.2223545686
193	0.2222710501
194	0.2221787328
195	0.2221105169
196	0.2220006053
197	0.2219016106
198	0.2217920339
199	0.2216675699
200	0.2215357114
201	0.2213876916
202	0.2212490862
203	0.2208004652
204	0.220716381
205	0.2206721043
206	0.2206055175
207	0.2204909119
208	0.220432841
209	0.2203322556
210	0.2202455265
211	0.220127471
212	0.2200528132
213	0.2199483944
214	0.219841558
215	0.2197563768
216	0.2196487956
217	0.2195442202
218	0.2194503305
219	0.219378486
220	0.2192502728
221	0.2191547806
222	0.2190471115
223	0.2189632062
224	0.2188753957
225	0.218790521
226	0.2186703223
227	0.2183333859
228	0.2182437776
229	0.218121587
230	0.2180192211
231	0.2179353288
232	0.2178315
233	0.2177045102
234	0.217614249
235	0.2175250647
236	0.2174444819
237	0.2173297026
238	0.2171769588
239	0.2170636232
240	0.2169435992
241	0.2168277357
242	0.2167153515
243	0.2165945315
244	0.2160299907
245	0.2159204083
246	0.2157946122
247	0.2156757092
248	0.2152566115
249	0.2151950081
250	0.2150844186
251	0.2149869928
252	0.2148863202
253	0.2147777116
254	0.2146945185
255	0.2145738981
256	0.2142230032
257	0.214115917
258	0.2140174237
259	0.2139132866
260	0.2138083439
261	0.2136959218
262	0.213570092
263	0.2134282552
264	0.2133409439
265	0.2132924702
266	0.2132038235
267	0.213063709
268	0.2129821088
269	0.2128951557
270	0.2127565066
271	0.2126164891
272	0.2124974205
273	0.2124358352
274	0.2123463038
275	0.2122585275
276	0.2121831456
277	0.2120992436
278	0.211980625
279	0.2118529062
280	0.21173855
281	0.2116446849
282	0.2115473108
283	0.2114194724
284	0.2112846426
285	0.2111888225
286	0.211084431
287	0.2110062701
288	0.2109058949
289	0.2108120957
290	0.2107285304
291	0.2106792306
292	0.210574321
293	0.2104918935
294	0.210372214
295	0.2102942909
296	0.2101464913
297	0.2100312228
298	0.2095696979
299	0.2094133104
300	0.2091002031
301	0.2089789416
302	0.2088743478
303	0.2087531515
304	0.2086270892
305	0.2085075214
306	0.2084651728
307	0.2083962493
308	0.2083053658
309	0.2081787986
310	0.2081009434
311	0.2079965969
312	0.2078880012
313	0.2078205809
314	0.2076651132
315	0.2075532764
316	0.2074209264
317	0.2073442308
318	0.2073138324
319	0.2072308776
320	0.2071225127
321	0.20702105
322	0.2069453898
323	0.2068593974
324	0.2066912004
325	0.2066350002
326	0.206532587
327	0.206397464
328	0.2062836868
329	0.206205862
330	0.2060653104
331	0.2059878916
332	0.2059098347
333	0.2057694181
334	0.2056689277
335	0.2055615359
336	0.2054852848
337	0.2054167088
338	0.2053066922
339	0.2052578861
340	0.2051587245
341	0.2050447711
