iter	Passed	Remaining
0	4	2417
1	7	1794
2	9	1555
3	11	1431
4	13	1367
5	15	1316
6	18	1277
7	20	1252
8	22	1228
9	24	1211
10	26	1195
11	29	1181
12	31	1175
13	33	1166
14	35	1157
15	38	1149
16	40	1144
17	42	1138
18	44	1131
19	46	1124
20	49	1119
21	51	1114
22	53	1111
23	55	1106
24	58	1104
25	60	1101
26	62	1096
27	64	1091
28	67	1088
29	69	1084
30	71	1080
31	73	1076
32	75	1073
33	78	1069
34	80	1066
35	82	1062
36	84	1060
37	86	1057
38	89	1055
39	91	1052
40	93	1050
41	96	1047
42	98	1043
43	100	1040
44	102	1039
45	105	1037
46	107	1033
47	109	1031
48	111	1028
49	113	1025
50	116	1023
51	118	1021
52	120	1018
53	122	1015
54	125	1013
55	127	1011
56	129	1009
57	132	1006
58	134	1004
59	136	1002
60	138	1000
61	141	997
62	143	994
63	145	991
64	147	988
65	150	986
66	152	984
67	154	981
68	156	979
69	159	977
70	161	974
71	163	972
72	165	969
73	167	967
74	170	965
75	172	962
76	174	960
77	176	957
78	179	956
79	181	953
80	183	950
81	186	948
82	188	945
83	190	942
84	192	940
85	195	938
86	197	937
87	199	934
88	201	932
89	204	929
90	206	927
91	208	924
92	210	922
93	213	920
94	215	917
95	217	915
96	219	913
97	222	911
98	224	909
99	226	906
100	228	904
101	231	902
102	233	899
103	235	897
104	237	894
105	240	892
106	242	890
107	244	887
108	246	885
109	249	883
110	251	880
111	253	878
112	257	881
113	262	887
114	266	892
115	271	897
116	275	901
117	279	906
118	284	910
119	289	915
120	293	919
121	298	924
122	302	927
123	306	929
124	311	934
125	314	932
126	316	929
127	318	926
128	321	923
129	323	921
130	326	918
131	328	915
132	330	912
133	335	916
134	340	920
135	344	922
136	349	926
137	353	926
138	358	931
139	363	934
140	368	938
141	373	942
142	378	944
143	383	947
144	387	949
145	392	951
146	397	953
147	401	955
148	406	958
149	412	961
150	416	963
151	421	964
152	426	966
153	430	968
154	436	970
155	440	972
156	445	972
157	450	976
158	456	978
159	461	980
160	466	981
161	470	982
162	475	982
163	479	982
164	484	982
165	488	982
166	492	981
167	494	977
168	496	973
169	499	968
170	501	964
171	503	960
172	506	956
173	508	952
174	510	948
175	513	945
176	515	941
177	518	937
178	521	934
179	523	930
180	525	926
181	528	922
182	530	918
183	532	914
184	534	910
185	537	906
186	539	902
187	541	898
188	544	895
189	546	891
190	548	887
191	550	883
192	553	880
193	555	876
194	557	872
195	560	868
196	562	865
197	564	861
198	567	857
199	569	854
200	571	850
201	574	846
202	576	843
203	578	839
204	580	835
205	583	832
206	585	828
207	587	825
208	589	821
209	592	817
210	594	814
211	596	810
212	599	807
213	601	803
214	603	800
215	605	796
216	608	793
217	610	789
218	612	786
219	615	782
220	617	779
221	619	776
222	622	772
223	624	769
224	626	765
225	628	762
226	631	759
227	633	755
228	635	752
229	638	749
230	640	745
231	642	742
232	644	739
233	647	735
234	649	732
235	651	729
236	653	725
237	656	722
