feature,importance
bytes_out_mean_5min,30.02280044555664
bytes_ratio_1min,27.941699981689453
event_count_1min,0.0
unique_src_ips_1min,0.0
unique_protocols_1min,0.0
port_entropy_1min,0.0
src_ip_entropy_1min,0.0
bytes_in_mean_1min,0.0
bytes_in_std_1min,0.0
bytes_in_sum_1min,0.0
unique_dst_ips_1min,0.0
unique_dst_ports_1min,0.0
bytes_out_sum_1min,0.0
conn_duration_p50_1min,0.0
conn_duration_p95_1min,0.0
failed_auth_ratio_1min,0.0
inter_arrival_mean_1min,0.0
inter_arrival_cv_1min,0.0
http_ratio_1min,0.0
https_ratio_1min,0.0
dns_ratio_1min,0.0
ssh_ratio_1min,0.0
smtp_ratio_1min,0.0
event_count_5min,0.0
unique_src_ips_5min,0.0
unique_dst_ips_5min,0.0
bytes_out_mean_1min,0.0
bytes_out_std_1min,0.0
unique_protocols_5min,0.0
unique_dst_ports_5min,0.0
bytes_in_mean_5min,0.0
port_entropy_5min,0.0
bytes_in_std_5min,0.0
bytes_in_sum_5min,0.0
bytes_out_std_5min,0.0
src_ip_entropy_5min,0.0
conn_duration_p50_5min,0.0
conn_duration_p95_5min,0.0
failed_auth_ratio_5min,0.0
inter_arrival_mean_5min,0.0
inter_arrival_cv_5min,0.0
http_ratio_5min,0.0
https_ratio_5min,0.0
bytes_out_sum_5min,0.0
ssh_ratio_5min,0.0
smtp_ratio_5min,0.0
event_count_15min,0.0
unique_src_ips_15min,0.0
unique_dst_ips_15min,0.0
unique_dst_ports_15min,0.0
unique_protocols_15min,0.0
port_entropy_15min,0.0
src_ip_entropy_15min,0.0
bytes_in_mean_15min,0.0
bytes_in_std_15min,0.0
bytes_in_sum_15min,0.0
bytes_out_mean_15min,0.0
bytes_out_std_15min,0.0
bytes_out_sum_15min,0.0
dns_ratio_5min,0.0
conn_duration_p50_15min,0.0
conn_duration_p95_15min,0.0
inter_arrival_mean_15min,0.0
failed_auth_ratio_15min,0.0
http_ratio_15min,0.0
https_ratio_15min,0.0
dns_ratio_15min,0.0
inter_arrival_cv_15min,0.0
smtp_ratio_15min,0.0
baseline_mean_1min,0.0
baseline_std_1min,0.0
baseline_deviation_1min,0.0
rate_change_1min,0.0
baseline_mean_5min,0.0
baseline_std_5min,0.0
ssh_ratio_15min,0.0
baseline_deviation_5min,0.0
rate_change_5min,0.0
baseline_std_15min,0.0
baseline_mean_15min,0.0
rate_change_15min,0.0
new_dst_ip_ratio_1min,0.0
new_dst_ip_count_1min,0.0
baseline_deviation_15min,0.0
new_dst_port_ratio_1min,0.0
new_dst_port_count_1min,0.0
bytes_ratio_5min,0.0
bytes_ratio_15min,0.0
port_scan_indicator_1min,0.0
port_scan_indicator_5min,0.0
high_entropy_1min,0.0
high_entropy_5min,0.0
